"country","life_expectancy","GDP"
"Grenada",73.29375,6259.5172613125
"Guatemala",71.73125,2365.83447375
"Guinea",56.0125,279.46479789375
"Guinea-Bissau",55.36875,384.21493053125
"Guyana",65.6375,1783.8809370625
"Haiti",59.86875,434.36012815
"Honduras",72.99375,1421.7880825
"Hungary",73.825,8513.64183125
"Iceland",82.44375,30159.5029075
"India",65.41875,837.9200509125
"Indonesia",67.55625,1669.116783075
"Iraq",70.2666666666667,3542.55753725
"Ireland",80.15,33835.272005
"Israel",81.3,18860.476015625
"Italy",82.1875,21234.782370625
"Jamaica",74.29375,2509.546469625
"Japan",82.5375,24892.544784375
"Jordan",72.9875,1822.629925625
"Kazakhstan",66.7625,4040.586664375
"Kenya",57.48125,716.77006788125
"Kiribati",65.15,1175.29241553125
"Kuwait",73.84375,31914.378339375
"Latvia",73.73125,7951.824896625
"Lebanon",74.2,4696.1923789375
"Lesotho",48.78125,794.5230103125
"Liberia",57.525,246.28174803125
"Libya",72.4083333333333,4598.16197541667
"Lithuania",72.80625,9007.4586225
"Luxembourg",80.78125,53257.012740625
"Madagascar",62.74375,314.04132958125
"Malawi",49.89375,237.50404201875
"Malaysia",73.75625,4904.9389918125
"Maldives",75.5375,3818.2969615625
"Mali",54.9375,530.5121701
"Malta",80.3625,10114.797943125
"Mauritania",62.8,635.04960900625
"Mauritius",72.7125,5299.579823625
"Mexico",75.71875,5179.33080675
"Mongolia",65.8875,1984.6880227125
"Montenegro",74.5,4676.5142775
"Morocco",72.15625,1936.391438375
"Mozambique",53.39375,365.06823808125
"Myanmar",64.2,616.18435734375
"Namibia",60.4,3042.603507
"Nepal",66.48125,395.32846794375
"Netherlands",81.13125,34964.719796875
"New Zealand",81.3375,14775.554806875
"Nicaragua",73.45,957.9039710625
"Niger",56.98125,259.782440975
"Nigeria",51.35625,1360.13987746875
"Norway",81.79375,27434.946928125
"Oman",74.84375,7621.311126875
"Pakistan",64.5,666.11105159375
"Panama",76.4875,5417.76889025
"Papua New Guinea",61.6,758.097616346667
"Paraguay",73.1125,1983.4043354375
"Peru",73.6625,2928.543541625
"Philippines",67.575,1397.1361066875
"Poland",75.65,6792.5636004375
"Portugal",79.99375,11598.62553125
"Qatar",77.03125,40748.444104375
"Romania",74.05,4258.9400543125
"Russian Federation",67.7625,6545.137359
"Rwanda",59.3125,300.01801709375
"Samoa",73.61875,2121.6206485
"Sao Tome and Principe",65.3333333333333,771.034834253333
"Saudi Arabia",73.46875,10689.0529458125
"Senegal",62.56875,274.61116614375
"Serbia",73.95625,3674.5424077625
"Seychelles",72.375,6496.3023970625
"Sierra Leone",46.1125,271.50556128125
"Singapore",81.475,32790.105906875
"Slovenia",79.73125,11441.0443775
"Solomon Islands",67.7125,801.912383175
"Somalia",54.5,297.473345133333
"South Africa",57.5,4869.4270436875
"South Sudan",55.575,1092.233630625
"Spain",82.06875,17093.459736875
"Sri Lanka",73.4,1040.110189675
"Sudan",61.825,1192.79795343125
"Suriname",70.08125,4781.2168219375
"Swaziland",51.325,2165.0908375
"Sweden",82.51875,29334.990639375
"Switzerland",82.33125,57362.87460125
"Syrian Arab Republic",73.1625,1087.435773875
"Tajikistan",66.65625,335.84172523125
"Thailand",73.08125,3494.781701625
"Timor-Leste",64.75625,551.7106493125
"Togo",56.6625,317.20409206875
"Tonga",72.53125,1981.5551861875
"Trinidad and Tobago",71.06875,7741.7480900625
"Tunisia",74.35625,3044.081488375
"Turkey",73.9125,3983.91772175
"Turkmenistan",64.61875,2511.6115398625
"Uganda",55.70625,421.04849634375
"Ukraine",69.9375,1577.293328625
"United Arab Emirates",75.7,22110.36698625
"Uruguay",76.075,7192.5848745
"Uzbekistan",68.03125,651.09235893125
"Vanuatu",71.3875,2000.245518125
"Zambia",53.90625,811.81184051875
"Zimbabwe",50.4875,410.98019376875
